País,ISO,Región,Entrada_2000,Salida_2000,Entrada_2001,Salida_2001,Entrada_2002,Salida_2002,Entrada_2003,Salida_2003,Entrada_2004,Salida_2004,Entrada_2005,Salida_2005,Entrada_2006,Salida_2006,Entrada_2007,Salida_2007,Entrada_2008,Salida_2008,Entrada_2009,Salida_2009,Entrada_2010,Salida_2010,Entrada_2011,Salida_2011,Entrada_2012,Salida_2012,Entrada_2013,Salida_2013,Entrada_2014,Salida_2014,Entrada_2015,Salida_2015,Entrada_2016,Salida_2016,Entrada_2017,Salida_2017,Entrada_2018,Salida_2018,Entrada_2019,Salida_2019,Entrada_2020,Salida_2020,Entrada_2021,Salida_2021,Entrada_2022,Salida_2022,Prom_Entrada_2000_2022,Prom_Salida_2000_2022,Clasificación
Latvia,LVA,Europa Occidental,324.18,6.93,173.5,84.28,160.09,-46.73,316.65,85.87,591.59,85.05,809.86,225.74,1705.67,212.52,2713.41,769.4,1434.27,342.83,-150.02,-193.67,474.98,102.83,1519.52,107.83,1080.78,161.3,989.28,493.83,1045.11,694.14,812.84,144.05,335.42,245.36,1189.99,577.16,439.13,-314.17,1115.79,89.14,939.36,197.67,3734.09,2674.16,1217.39,-167.88,998.82,285.98,Importador neto
Lebanon,LBN,Medio Oriente/Norte África,993.48,137.92,1453.91,3.88,1335.97,0.21,2860.02,610.95,1898.78,827.05,2623.5,715.5,2674.53,874.65,3375.98,848.09,4333.05,986.58,4803.6,1125.77,4279.88,486.65,3137.05,936.65,3111.32,1030.19,2661.09,1975.7,2862.51,1240.71,2159.29,660.21,2568.49,1004.74,2522.41,1317.43,2658.0,631.22,1906.39,339.04,1606.89,28.91,599.79,-1338.78,526.84,66.15,2476.21,630.84,Importador neto
Libya,LBY,Medio Oriente/Norte África,141.0,98.0,-133.0,175.0,145.0,-136.0,143.0,63.0,357.0,286.0,1038.0,128.0,2064.0,474.0,4689.0,3932.8,4111.3,5888.2,1371.0,1165.0,1784.0,2722.0,,131.0,1425.0,2508.8,702.0,707.7,,-77.6,,394.9,,439.5,,-294.5,,275.6,,-268.5,,350.4,603.0,225.4,702.0,60.7,1276.15,836.93,Exportador neto
Lithuania,LTU,Europa Occidental,380.27,5.1,442.4,3.67,660.79,-33.99,217.4,75.41,879.54,297.82,1292.55,547.53,2259.38,520.02,2601.49,875.17,1727.29,554.78,-360.2,604.49,1102.7,106.83,1880.81,815.37,677.18,421.89,768.66,331.86,357.32,545.73,1036.95,356.64,1177.53,912.91,1383.73,450.9,1299.84,1039.71,3434.3,2161.38,4560.5,3929.07,2507.63,1270.09,2419.33,-803.07,1422.06,651.71,Importador neto
Madagascar,MDG,África Subsahariana,82.95,-0.92,93.06,1.12,14.66,,12.87,,52.91,,85.43,34.94,294.68,11.17,789.39,38.48,1134.5,44.6,1293.33,26.18,912.29,43.55,815.53,42.33,814.79,36.43,565.85,15.61,372.87,36.76,328.06,81.92,540.84,89.73,464.86,105.97,612.04,117.9,474.31,101.62,358.47,119.09,357.54,114.33,467.85,142.02,475.61,60.14,Importador neto
Malaysia,MYS,Asia Sur-Este/Pacífico,3787.63,2026.05,553.95,266.84,3192.89,1894.21,3218.95,2115.26,4376.05,1813.16,3924.79,2931.1,7690.73,7637.59,9071.37,11815.56,7572.51,15400.01,114.66,6740.79,10885.8,15349.41,15119.44,18108.4,8895.77,16896.88,11296.28,13408.21,10619.43,16059.87,9857.16,10541.97,13470.09,10097.32,9368.47,5608.38,8304.48,5765.33,9154.92,7527.95,4058.77,3295.99,20245.16,12784.98,15027.99,11811.33,8252.49,8691.16,Exportador neto
Malta,MLT,Europa Occidental,743.19,163.12,416.89,186.26,-497.8,-96.91,911.47,479.64,7469.04,5314.22,21801.42,10970.39,25035.39,14860.37,35591.48,14639.47,14837.77,16162.6,1444.87,-6101.37,9245.0,3329.54,7806.91,-4378.04,3323.6,-8253.59,510.06,-8770.51,155.88,-8714.05,3640.71,-6592.0,2776.03,-6634.88,42459.31,32117.34,73050.79,73202.91,32381.44,31178.87,31484.12,40453.09,85551.15,68811.76,21777.71,27311.75,18344.19,12593.04,Importador neto
Mauritius,MUS,África Subsahariana,265.64,12.95,-27.68,2.87,32.07,8.7,62.63,-6.02,13.89,31.79,41.78,46.96,106.76,9.59,340.76,59.57,377.72,52.43,256.68,37.84,429.94,128.69,433.33,157.81,589.02,180.37,293.37,167.89,455.56,141.13,216.46,99.66,378.76,28.29,480.0,89.23,460.51,98.41,444.08,57.71,224.67,16.09,260.54,67.93,545.91,128.68,290.54,70.37,Importador neto
Mexico,MEX,América del Norte,18382.28,,30060.02,4403.96,20160.11,-3036.49,18157.93,1161.42,25142.73,4559.07,25161.67,5834.84,22128.84,6675.75,31020.14,8332.03,29771.54,688.04,19652.9,11663.09,30534.44,17895.41,23894.81,11572.81,18231.6,18774.81,50929.78,18031.64,28438.49,5594.19,36251.27,10978.38,38902.37,7869.65,33138.67,3044.66,37867.13,12245.31,29948.99,6084.39,31546.86,5044.95,35617.2,-301.1,39206.37,17369.11,29310.7,7931.18,Importador neto
"Moldova, Republic of",MDA,Este Europa/Asia Central,127.54,0.08,103.44,0.12,84.05,0.45,73.75,0.11,151.01,3.22,190.7,-0.16,258.68,-0.72,536.02,12.12,726.61,31.23,263.96,-4.78,297.05,6.96,372.88,35.73,251.2,26.6,241.88,30.76,345.9,40.83,225.87,7.31,87.44,13.33,149.52,10.87,309.64,34.3,521.37,41.79,155.72,3.79,386.12,14.28,586.02,44.96,280.28,15.36,Importador neto
Mongolia,MNG,Este Europa/Asia Central,53.7,,63.0,,77.75,,131.54,,92.92,,187.62,2.3,245.46,54.4,372.76,12.75,844.7,6.24,623.61,53.81,1691.42,62.33,4571.16,94.56,4272.47,64.66,2059.7,40.99,337.77,107.08,94.32,11.41,-4156.4,14.47,1494.35,48.61,1951.53,27.93,2443.34,126.97,1719.12,25.97,2173.39,113.36,2504.29,75.86,1036.94,52.43,Importador neto
Montenegro,MNE,Europa Occidental,,,,,,,,,,,,,,,937.36,159.22,975.27,110.28,1550.29,45.81,758.25,27.13,556.66,17.99,618.13,27.85,446.46,17.65,496.99,27.88,699.86,12.39,226.7,-184.87,560.67,11.07,485.65,106.58,417.59,76.09,530.9,-4.78,693.74,10.71,872.56,51.56,676.69,32.03,Importador neto
Morocco,MAR,Medio Oriente/Norte África,426.55,58.52,2824.56,97.05,480.36,28.33,2312.83,12.61,893.33,30.92,1670.61,74.12,2460.79,450.87,2825.8,631.98,2466.29,315.93,1970.32,479.02,1240.63,579.98,2521.36,248.02,2841.95,359.56,3360.91,444.7,3525.38,431.22,3252.91,656.59,2153.36,579.11,2680.11,1012.16,3544.39,780.87,1720.83,893.14,1418.71,459.3,2264.15,642.76,2294.36,639.46,2223.93,430.71,Importador neto
Mozambique,MOZ,África Subsahariana,139.3,,255.44,,347.25,-0.4,336.7,,475.51,,122.41,14.56,251.14,138.14,416.69,17.38,641.4,49.75,930.1,34.51,1258.45,237.86,3663.94,83.59,5635.09,8.85,6697.42,522.3,4998.8,97.01,3868.35,1.52,3128.15,34.72,2319.07,25.98,1678.06,-25.3,3379.33,-30.89,3187.94,153.38,5295.4,193.73,3022.18,563.72,2262.96,111.6,Importador neto
Myanmar,MMR,Asia Sur-Este/Pacífico,254.79,,208.3,,150.51,,248.88,,211.36,,234.9,,275.81,,709.92,,863.88,,1078.97,,901.13,,2519.81,,1333.86,,2254.6,,2175.02,,4083.84,,3278.1,,4804.27,,1768.2,,1735.59,,1907.15,,2066.61,,1238.5,,1491.48,,Importador neto
Nepal,NPL,Asia Sur-Este/Pacífico,-0.48,,20.85,,-5.95,,14.78,,-0.42,,2.45,,-6.65,,5.74,,1.0,,38.27,,87.74,,94.02,,91.95,,74.18,,30.4,,51.9,,106.0,,196.27,,68.26,,185.56,,126.63,,196.33,,66.06,,62.82,,Importador neto
